timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740752986403,29,HTTP Request,200,OK,Thread Group 1-332,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,29,0,1
1740752986401,31,HTTP Request,200,OK,Thread Group 1-330,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,31,0,1
1740752986405,27,HTTP Request,200,OK,Thread Group 1-333,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,27,0,1
1740752986396,36,HTTP Request,200,OK,Thread Group 1-328,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,36,0,0
1740752986414,26,HTTP Request,200,OK,Thread Group 1-337,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,26,0,1
1740752986420,24,HTTP Request,200,OK,Thread Group 1-340,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,24,0,0
1740752986418,26,HTTP Request,200,OK,Thread Group 1-339,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,26,0,0
1740752986423,25,HTTP Request,200,OK,Thread Group 1-341,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,25,0,0
1740752986415,33,HTTP Request,200,OK,Thread Group 1-338,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,33,0,0
1740752986414,38,HTTP Request,200,OK,Thread Group 1-336,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,38,0,1
1740752986439,15,HTTP Request,200,OK,Thread Group 1-350,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,15,0,0
1740752986443,11,HTTP Request,200,OK,Thread Group 1-352,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,11,0,0
1740752986443,13,HTTP Request,200,OK,Thread Group 1-351,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,13,0,0
1740752986424,32,HTTP Request,200,OK,Thread Group 1-342,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,32,0,0
1740752986430,30,HTTP Request,200,OK,Thread Group 1-345,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,30,0,0
1740752986435,25,HTTP Request,200,OK,Thread Group 1-347,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,25,0,0
1740752986437,23,HTTP Request,200,OK,Thread Group 1-349,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,23,0,0
1740752986436,30,HTTP Request,200,OK,Thread Group 1-348,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,30,0,1
1740752986425,41,HTTP Request,200,OK,Thread Group 1-343,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,41,0,0
1740752986427,41,HTTP Request,200,OK,Thread Group 1-344,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,41,0,0
1740752986431,37,HTTP Request,200,OK,Thread Group 1-346,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,37,0,0
1740752986452,19,HTTP Request,200,OK,Thread Group 1-356,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,19,0,0
1740752986446,31,HTTP Request,200,OK,Thread Group 1-353,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,31,0,0
1740752986450,27,HTTP Request,200,OK,Thread Group 1-355,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,27,0,0
1740752986453,28,HTTP Request,200,OK,Thread Group 1-357,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,28,0,0
1740752986448,33,HTTP Request,200,OK,Thread Group 1-354,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,33,0,0
1740752986478,7,HTTP Request,200,OK,Thread Group 1-369,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,7,0,0
1740752986458,31,HTTP Request,200,OK,Thread Group 1-359,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,31,0,0
